rs,t_iis,t_ijs,gamma_iis,gamma_ijs,ES0s_Zhang,Huckels,PPPs,ES0s_PPP,ES1s_PPP,ET1s_PPP,ESs_CIS,ETs_CIS
1.3,-16.88772291883835,-3.249672388421227,11.40226098437065,7.397921855684164,0.05899428278826235,-0.600799101319005,-0.6172258433553495,-0.5425012243872374,-0.1333693185107805,-0.1005158344380952,-0.18148077219554537,-0.14862728812286008
1.31,-16.870427748786636,-3.1962120929384388,11.398927620447042,7.386911863431665,0.034259133778050455,-0.459288170249998,-0.4718765981218951,-0.41412279267320784,-0.10211234233096178,-0.07693548658716765,-0.13921380376321224,-0.1140369480194181
1.32,-16.85325591084685,-3.1436312717076724,11.395492164091099,7.375867078424144,0.016517310725248535,-0.3197828519088972,-0.32856661545501,-0.2879146371164296,-0.0712041228073339,-0.05363659571511903,-0.0972607992320782,-0.07969327213985622
1.33,-16.836202872771615,-3.0919154565155855,11.391950403230464,7.364788260808827,0.005306220085003588,-0.18224514537425307,-0.18726038054301597,-0.1638405600966415,-0.04063980751749696,-0.030609337179964058,-0.05561766632691345,-0.045587195989376994
1.34,-16.819264321500448,-3.0410504171651374,11.388297906306734,7.35367616625645,0.00032653662037773756,-0.04663796413102261,-0.047923400485458956,-0.04186528175367599,-0.01041520189889411,-0.007844329190007215,-0.014280966155929775,-0.01171009344704288
1.343472,-16.813409274776923,-3.023586481823152,11.387003014758578,7.349810401999406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.35,-16.80243615162946,-2.9910221575599647,11.384530008406466,7.342531545885168,0.0012517237123574887,0.08707489482129915,0.0894778197023598,0.0780455921541261,0.019473239942811915,0.014667390180687079,0.026752096057048647,0.02194624629492381
1.36,-16.785714454573032,-2.941816911853213,11.380641796358884,7.331355146186999,0.007700821969592653,0.21892878034766028,0.22497579905401466,0.1959256008696144,0.04902842200808877,0.03693438459537646,0.06748367782049058,0.05538964040777472
1.37,-16.769095508369748,-2.8934211406596937,11.37662809271136,7.320147708956769,0.019401717540858954,0.34895821514126624,0.3586021006389757,0.3118074578211676,0.07825261076713375,0.0589648397717113,0.10791530380976866,0.08862753281434976
1.38,-16.752575768088636,-2.8458215273303793,11.372483438485053,7.308909971223568,0.03608229657629636,0.4771969223621184,0.4903873496132718,0.4257230784487511,0.10714743710305186,0.08076658260073444,0.1480478678788799,0.12166701337657315
1.39,-16.73615185679512,-2.7990049742881626,11.36820207460339,7.2976426651846475,0.05741602245552713,0.6036778510335807,0.6203612493633628,0.5377036067408554,0.13571389580841497,0.10234709914884377,0.18788163262316715,0.15451483596359594
1.4,-16.719820557039224,-2.7529585994239163,11.363777921875391,7.2863465181417775,0.08315799271304058,0.7284332002738694,0.7485525957610903,0.6477794405427595,0.1639523425922107,0.12371355161776876,0.22741622644984005,0.1871774354753981
1.41,-16.703578802831373,-2.707669732551839,11.35920455940383,7.275022252440032,0.11303609349761246,0.8514944424337259,0.8749892895360389,0.7559802556894297,0.19186248853635135,0.14487279433172517,0.266650638095733,0.2196609438911068
1.42,-16.687423672073777,-2.663125911923094,11.354475201275026,7.263670585408951,0.1468054223450963,0.9728923452064109,0.9996983467598568,0.8623350290085412,0.21944339192274143,0.16583138881583892,0.3055832085131911,0.25197120540629214
1.43,-16.67135237941777,-2.619314880796835,11.349582671372103,7.252292229306105,0.18427549955868017,1.0926569927709409,1.1227059074243542,0.9668720602318004,0.24669344733183607,0.18659561802500946,0.34421162002513483,0.2841137907183082
1.44,-16.655362269519557,-2.576224584067605,11.344519376137132,7.240887891262984,0.225174211288504,1.2108178060258297,1.2440372420833157,1.0696189928460562,0.2736103718932874,0.20717149977831184,0.38253288262971097,0.31609401051473185
1.45,-16.63945081066905,-2.533843164948253,11.339277275088959,7.2294582732332255,0.2693110778400296,1.3274035619655464,1.3637167565138242,1.1706028339079921,0.3001911885461297,0.2275647994495671,0.4205433173123083,0.3479169282157457
1.46,-16.623615588768033,-2.4921589617073896,11.333847848882899,7.21800407194313,0.31646840813118615,1.4424424122493065,1.4817679943396058,1.26984997283974,0.3264322061421012,0.24778104196150608,0.4582385361983796,0.379587372017788
1.47,-16.60785430163584,-2.451160504460542,11.328222064675234,7.206525978844451,0.36648293385360375,1.555961901007386,1.5982136375431892,1.3673861992152183,0.35232899619882474,0.2678255231272111,0.4956134193537771,0.4111099462821599
1.48,-16.592164753622125,-2.410836512014073,11.322390338529415,7.195024680069422,0.4191097525404075,1.6679889819277562,1.7130755047781676,1.4632367195399425,0.37787636608043584,0.2877033203796131,0.5326620880104223,0.44248904230959596
1.49,-16.576544850507826,-2.371175888761041,11.31634249457166,7.183500856388006,0.4742400186514715,1.7785500346624161,1.8263745473746553,1.5574261730194827,0.4030683283512779,0.307419302926796,0.5693778739626794,0.47372884853819386
1.5,-16.5609925946767,-2.332167721628104,11.310067720570691,7.171955183167311,0.5316832524922575,1.887670880590541,1.938130842912642,1.6499786463038788,0.42789806601255975,0.32697814136835035,0.6057532848446527,0.5048333602004433
1.51,-16.545506080541056,-2.2938012770726814,11.303554519579318,7.160388330333186,0.591248974366863,1.9953767979726749,2.048363586216155,1.7409176871872027,0.45235789329247567,0.34638431680551207,0.6417799649586939,0.5358063884717339
1.52,-16.530083490206405,-2.2560659981294786,11.296790657233712,7.148800962333917,0.6528011273494485,2.1016925365283825,2.157091077598693,1.83026631723261,0.4764392116161744,0.3656421294755461,0.6774486512816615,0.5666515691410368
1.53,-16.514723089360828,-2.218951501505633,11.289763104259,7.13719373810604,0.7162036545159935,2.206642331467229,2.264330708164124,1.9180470432838987,0.5001324603326154,0.3847557069388259,0.7127491242259865,0.597372370832197
1.54,-16.49942322337577,-2.1824475747236187,11.282457973676266,7.125567311042204,0.7813204989411133,2.3102499170013715,2.3700989419388137,2.004281867814324,0.5234270617199925,0.4037290118451011,0.7476701526771947,0.6279721028023033
1.55,-16.484182313605913,-2.1465441733111787,11.274860452145486,7.113922328961079,0.8479883923132547,2.4125385393659684,2.474411294578587,2.0889922980522506,0.5463113597289286,0.42256584930369456,0.782199432767257,0.6584539223420265
1.56,-16.468998853876553,-2.1112314180374634,11.266954724810049,7.102259434079257,0.9161257004784602,2.5135309693721197,2.5772823083579297,2.172199353810953,0.5687725518522129,0.4412698738805929,0.8163235197723644,0.6888208418007409
1.57,-16.453871407147673,-2.076499592194657,11.25872389293033,7.090579262985134,0.9855691551260861,2.6132495145154877,2.678725523108497,2.2539235739361985,0.5907966134302534,0.4598445962442277,0.8500277524445217,0.7190757352584924
1.58,-16.43879860234469,-2.0423391389243064,11.250149883504601,7.078882446614727,1.0562099107155518,2.71171603066216,2.7787534427275062,2.3341850212696222,0.6123682136104911,0.47829338947978783,0.8832961689951659,0.7492213448644662
1.59,-16.423779131346322,-2.0087406585876497,11.24121334997393,7.067169610229401,1.1279663330928997,2.80895193333221,2.8773774968248844,2.413003286008877,0.6334706220765582,0.4966194950911955,0.9161114138465614,0.7792602868612022
1.6,-16.40881174612087,-1.9756949061791877,11.231893562991475,7.055441373395471,1.2007023653313809,2.904978208600035,2.9746079970184525,2.4903974873254597,0.6540856055450064,0.5148260287081747,0.9484546341489377,0.8091950573121025
