rs,t_iis,t_ijs,gamma_iis,gamma_ijs,Huckels,PPPs,ES0s_PPP,ES1s_PPP,ET1s_PPP,ESs_CIS,ETs_CIS
1.3,-16.88772291883835,-3.249672388421227,11.40226098437065,7.397921855684164,-40.274790614519155,-38.27262105017591,-31.176101839267865,-22.37318485330605,-26.377523981992535,8.501514341185693,4.497175212499208
1.31,-16.870427748786636,-3.1962120929384388,11.398927620447042,7.386911863431665,-40.13327968345015,-38.12727180494245,-31.047723407553836,-22.34192787712623,-26.353943634141608,8.39843206438457,4.386416307369194
1.32,-16.85325591084685,-3.1436312717076724,11.395492164091099,7.375867078424144,-39.99377436510905,-37.98396182227557,-30.921515251997057,-22.311019657602603,-26.33064474326956,8.297075086248821,4.277450000581869
1.33,-16.836202872771615,-3.0919154565155855,11.391950403230464,7.364788260808827,-39.8562366585744,-37.84265558736357,-30.79744117497727,-22.280455342312766,-26.307617484734404,8.197411984241992,4.170249841820354
1.34,-16.819264321500448,-3.0410504171651374,11.388297906306734,7.35367616625645,-39.72062947733117,-37.70331860730602,-30.675465896634304,-22.250230736694164,-26.284852476744447,8.099411704355417,4.064789964305133
1.343472,-16.813409274776923,-3.023586481823152,11.387003014758578,7.349810401999406,-39.67399151320015,-37.65539520682056,-30.633600614880628,-22.23981553479527,-26.27700814755444,8.065769270025887,4.028576657266717
1.35,-16.80243615162946,-2.9910221575599647,11.384530008406466,7.342531545885168,-39.58691661837885,-37.5659173871182,-30.5555550227265,-22.220342294852458,-26.262340757373753,8.003043546380578,3.9610450838592826
1.36,-16.785714454573032,-2.941816911853213,11.380641796358884,7.331355146186999,-39.45506273285249,-37.43041940776654,-30.437675014011013,-22.19078711278718,-26.240073762959064,7.908277148792367,3.858990498620482
1.37,-16.769095508369748,-2.8934211406596937,11.37662809271136,7.320147708956769,-39.325033298058884,-37.29679310618158,-30.32179315705946,-22.161562924028136,-26.21804330778273,7.815082473196682,3.7586020894420926
1.38,-16.752575768088636,-2.8458215273303793,11.372483438485053,7.308909971223568,-39.19679459083803,-37.165007857207286,-30.207877536431877,-22.132668097692218,-26.196241564953706,7.723429788291499,3.6598563210300163
1.39,-16.73615185679512,-2.7990049742881626,11.36820207460339,7.2976426651846475,-39.07031366216657,-37.035033957457195,-30.095897008139772,-22.104101638986855,-26.174661048405596,7.633289653285695,3.5627302438669535
1.4,-16.719820557039224,-2.7529585994239163,11.363777921875391,7.2863465181417775,-38.94555831292628,-36.90684261105947,-29.985821174337868,-22.07586319220306,-26.15329459593667,7.544632900714637,3.4672014969810245
1.41,-16.703578802831373,-2.707669732551839,11.35920455940383,7.275022252440032,-38.822497070766424,-36.78040591728452,-29.877620359191198,-22.047953046258918,-26.132135353222715,7.457430618585581,3.3732483116217846
1.42,-16.687423672073777,-2.663125911923094,11.354475201275026,7.263670585408951,-38.70109916799374,-36.6556968600607,-29.771265585872086,-22.020372142872528,-26.1111767587386,7.371654131779225,3.280849515913152
1.43,-16.67135237941777,-2.619314880796835,11.349582671372103,7.252292229306105,-38.58133452042921,-36.5326892993962,-29.666728554648827,-21.993122087463433,-26.09041252952943,7.287274982626668,3.1899845405606726
1.44,-16.655362269519557,-2.576224584067605,11.344519376137132,7.240887891262984,-38.46317370717432,-36.41135796473724,-29.56398162203457,-21.966205162901982,-26.06983664777613,7.204264910572283,3.1006334256981365
1.45,-16.63945081066905,-2.533843164948253,11.339277275088959,7.2294582732332255,-38.3465879512346,-36.29167845030673,-29.462997780972636,-21.93962434624914,-26.049443348104873,7.122595830824375,3.012776828968642
1.46,-16.623615588768033,-2.4921589617073896,11.333847848882899,7.21800407194313,-38.23154910095084,-36.17362721248095,-29.363750642040888,-21.91338332865317,-26.029227105592934,7.042239811884663,2.926396034944897
